Course ID,Course Subject,Column1,Course Number,Course Name,Course Description,Course Credits,Column1.details.career,Course Prerequisites,Column1.enrollment_information.course_attribute,Column1.offerings
COMPSCI 121,Computer Science,COMPSCI,121,Introduction to Problem Solving with Computers,"An introductory course in problem solving, using the programming language Java. Focuses on the fundamental concepts of problem solving and on computer implementation. Intended for computer science majors or those applying for the major. Satisfactory completion is a prerequisite for all higher-level computer science courses. Use of a laptop computer required. Prerequisite: high school algebra and basic math skills (R1).  (Gen.Ed. R2)",4,Undergraduate,"Prerequisite: Completion of the R1 General Education Requirement (or a score of 20 or higher on the Math Placement Exam, Part A) or one of the following courses: Math 101 & 102, Math 104, 127, 128, 131 or 132.",[List],[List]
COMPSCI 145,Computer Science,COMPSCI,145,"Representing, Storing, and Retrieving Information","An introductory course in the use of data in computer systems, a core course for the Information Technology certificate. Analog vs. Digital representations of information.  Formats for representing text, numbers, sound, images, etc., as strings of bits. Equations of lines and curves, modeling of synthetic scenes (i.e., ray tracing), and exploring the frequency domain. Basic information theory, use and limitations of file compression and encryption. Structured databases and how to use them. Review of historical, pre-computer methods of information representation. Prerequisites: ""Basic computer literacy"", i.e., user-level familiarity with a modern operating system and some experience with application programs. Tier I math skills.Recommended for First Year and Sophomore Non-Majors.",3,Undergraduate,You must have completed your R1 Gen. Ed. requirement to enroll in this course.,,[List]
COMPSCI 186,Computer Science,COMPSCI,186,Using Data Structures,"This course introduces foundational abstract data types and algorithms. The main focus is on the use of data structures in designing and developing programs to solve problems in a variety of domains. Specific topics include lists, sets, maps, graphs, stacks, queues, searching, and sorting. (Gen Ed R2)

Prerequisites: COMPSCI 121 (or equivalent experience) and Basic Math Skills (R1). This course is not a substitute for COMPSCI 187. If unsure of whether this course or COMPSCI 187 is more appropriate, contact instructor.",4,Undergraduate,"Prerequisite: COMPSCI 121 with a grade of C or better and completion of the R1 General Education Requirement (or a score of 20 or higher on the Math Placement Exam, Part A) or one of the following courses: Math 101 & 102, Math 104, 127, 128, 131 or 132.",[List],[List]
COMPSCI 187,Computer Science,COMPSCI,187,Programming with Data Structures,"The course introduces and develops methods for designing and implementing abstract data types using the Java programming language. The main focus is on how to implement abstract data collections and their associated operations. Specific implementations include linked structures, recursive structures, binary trees, balanced trees, and hash tables. Algorithm analysis and asymptotic bounding of implementations is a major topic throughout the course. The topics covered in this course are fundamental to programming and are essential to further computer science courses.",4,Undergraduate,Prerequisite: COMPSCI 121 with a grade of B or better (or COMPSCI 186 or 190D with a grade of C or better),[List],[List]
COMPSCI 190F,Computer Science,COMPSCI,190F,Foundations of Data Science,,,,,,[List]
COMPSCI 191CMPS1,Computer Science,COMPSCI,191CMPS1,CS Major First Year Seminar,"An exploration of computer science for first-year CMPSCI majors, focusing on a single topic. Sections 1 and 3 demonstrate computing principles through the history of video games. Sections 2 and 4 investigate the history of computing and its impact on the modern economy. Section 5 explores affective computing, which addresses systems and methods for emotion recognition, emotion expression in virtual agents and robots, and emotion modeling and affective agent architectures. Each section also looks at the ethical responsibilities of computing professionals and at civility and diversity in the world of computing.",1,Undergraduate,,,[List]
COMPSCI 196,Computer Science,COMPSCI,196,Independent Study,,,,,,[List]
COMPSCI 196ISH,Computer Science,COMPSCI,196ISH,Honors Independent Study in COMPSCI,,,,,,[List]
COMPSCI 197B,Computer Science,COMPSCI,197B,Special Topics- Advanced Assignments for 121,This add on to CMPSCI 121 consists entirely of five additional more advanced programs that students write to extend the coding experience available in the base 121 class. The course is intended primarily for students in 121 who have some previous programming experience.  Must be enrolled in CMPSCI 121 concurrently.,1,Undergraduate,,,[List]
COMPSCI 197C,Computer Science,COMPSCI,197C,Special Topics- Programming in C,"A brief introduction to the C programming language for students with a good working knowledge of Java and data structures. This course is good preparation for COMPSCI 230 and courses that use C and C++.  This course is for Computer Science minors and majors only, but it does not count towards either degree.",1,Undergraduate,Prerequisites: a grade of C or better in COMPSCI 186 or 187,,[List]
COMPSCI 197Q,Computer Science,COMPSCI,197Q,Special Topics- Introduction to Structured Query Language,"This course provides a comprehensive introduction to the language of relational databases: Structured Query Language (SQL). Topics covered include: Entity-Relationship modeling, the Relational Model, the SQL language: data retrieval statements, data manipulation and data definition statements. All interactive reading problems involve the use of ""live"" SQL. Homework will be done using databases running in MySQL which students install on their machines. Students develop a real-world database project using MySQL during the course.",1,Undergraduate,,,[List]
COMPSCI 197S,Computer Science,COMPSCI,197S,Special Topics- Basics of Cybersecurity,"This short course provides an introduction to basic principles and practices of computer and network security. Topics include ethics, primary definitions, applied cryptography, networking, operating systems, malware, and incident handling. The course is flipped: students complete readings and assignments ahead of each class, and class time is used to discuss this work. Class discussion includes current events related to security as well. Attendance is mandatory.",1,Undergraduate,,,[List]
COMPSCI 197SC01,Computer Science,COMPSCI,197SC01,SC-Digital Forensics Principles and Practices,"This two-week intensive course provides an introduction to the principles and practices of digital forensics. We will explore the steps in the acquisition, preservation, analysis, and courtroom presentation of digital evidence. We'll see how this information can be recovered from many sources, including file systems, operating systems, networks, database systems, applications, media files, and embedded systems. This survey of practical techniques will be complemented with a study of the theoretical underpinnings that support them: information theory; bit, byte, and character encoding algorithms; string matching algorithms; data structures commonly used in file and network systems; etc. We'll learn about existing tools for digital forensics, such as The Sleuth Kit and Wireshark, and we'll learn to write our own. We will also touch upon more advanced topics, such as stenography, anti-forensics, cryptography, timeline generation, and authorship attribution.  Prerequisites: AP Computer Science or general competency in a high-level programming language such as Python, Java, or C++.",2,Undergraduate,,,[List]
COMPSCI 197U,Computer Science,COMPSCI,197U,ST-A Hands-On Intro to UNIX,"This course offers an introduction to working with Unix, and it is intended to help students work with tools commonly used in CS courses. The class is comprised of both discussion and hands-on exercises in the EdLab. Topics covered include working with the command line, installing and maintaining the OS and software packages, version control systems, compiling programs, and more. No previous experience with Unix is required.  This course is for CS minors and majors only, but it does not count towards either degree.",1,Undergraduate,,,[List]
COMPSCI 197WP,Computer Science,COMPSCI,197WP,Special Topics - Introduction to HTML/CSS,"An academic approach to building websites with html and css. This course is aimed at beginning programmers and self-taught web developers who would like to cement their skills. Topics include structural html5, css, and introductory javascript/jquery (if time permits).",1,Undergraduate,Prerequisite: COMPSCI 121 with a grade of 'C' or better.,,[List]
COMPSCI 198C,Computer Science,COMPSCI,198C,Practicum- Introduction to the C Programming Language,"This practicum assumes general background and experience in computer programming (such as that provided by COMPSCI 121 or a similar introductory programming course) and some knowledge of data structures. Content will include basic C data types, declarations, expressions, statements, and functions; simple use of macros; some common library calls (such as formatted input/output); basic pointer manipulation using linked lists; and introduction to using standard tools (gcc and make).  It is recommended that students planning to take COMPSCI 230 take this class along with COMPSCI 187.",1,Undergraduate,Prerequisite: COMPSCI 121 with a grade of B or better (or COMPSCI 186 with a grade of C or better),,[List]
COMPSCI 198J,Computer Science,COMPSCI,198J,P- High School Teaching Practicum,"Assisting high school students in learning computer programming in the context of a high school course. The language of instruction will be Java or Python. Students taking this independent study will be expected to work under the direct supervision of the high school computer science teacher at a local high school. In some terms students are expected to attend high school classes weekly for approximately one hour. In others they will work on developing projects for future courses, meeting with the high school instructor once a week.  Course evaluation will be performed by the high school teacher in cooperation with the supervising faculty member, and a final written report will be required.",1,Undergraduate,"Prerequisites: COMPSCI 121 and 187, both with a grade of A- or better.",,[List]
COMPSCI 201,Computer Science,COMPSCI,201,Architc & Assembly Language,Introduction to computer organization and programming in assembly language. Various experiments performed using an 8086-based microcomputer system. Develops skills in programming bare or nearly bare machines. Use of computer required.,4,Undergraduate,Prerequisite:  COMPSCI 187 or E&C-ENG 242 with a grade of 'C' or better.,,[List]
COMPSCI 220,Computer Science,COMPSCI,220,Programming Methodology,"Development of individual skills necessary for designing, implementing, testing and modifying larger programs, including: design strategies and patterns, using functional and object-oriented approaches, testing and program verification, code refactoring, interfacing with libraries.",4,Undergraduate,Prerequisites: COMPSCI 187 with a grade of 'C' or better.,,[List]
COMPSCI 230,Computer Science,COMPSCI,230,Computer Systems Principles,"Large-scale software systems like Google - deployed over a world-wide network of hundreds of thousands of computers - have become a part of our lives. These are systems success stories - they are reliable, available (""up"" nearly all the time), handle an unbelievable amount of load from users around the world, yet provide virtually instantaneous results. On the other hand, many computer systems don't perform nearly as well as Google - hence the now-cliche ""the system is down."" In this class, we study the scientific principles behind the construction of high-performance, scalable systems. The course begins with a discussion of data representation, and moves up the stack from there to the features of modern architectures, assembly languages, and operating system services such as I/O, process, and synchronization.",4,Undergraduate,Prerequisites: COMPSCI 187 with a grade of 'C' or better.,,[List]
COMPSCI 240,Computer Science,COMPSCI,240,Reasoning Under Uncertainty,"Development of mathematical reasoning skills for problems that involve uncertainty. Counting and probability -- basic counting problems, probability definitions, mean, variance, binomial distribution, discrete random variables, continuous random variables, Markov and Chebyshev bounds, Laws of large number, and central limit theorem. Probabilistic reasoning -- conditional probability and odds, Bayes' Law, Markov Chains, Bayesian Network, Markov Decision Processes.",4,Undergraduate,Prerequisite: COMPSCI 187 and MATH 132 with a grade of C or better.,,[List]
COMPSCI 250,Computer Science,COMPSCI,250,Introduction To Computation,"Basic concepts of discrete mathematics useful to computer science:  set theory, strings and formal languages, propositional and predicate calculus, relations and functions, basic number theory.  Induction and recursion:  interplay of inductive definition, inductive proof, and recursive algorithms.  Graphs, trees, and search.   Finite-state machines, regular languages, nondeterministic finite automata, Kleene's Theorem.",4,Undergraduate,Prerequisites: A grade of C or better in COMPSCI 187 (or E&C-ENG 241) and MATH 132.,,[List]
COMPSCI 287,Computer Science,COMPSCI,287,Programming Language Paradigms,"Introduction to four major programming paradigms (functional, imperative, logic, and object-oriented) using the Scheme language (a dialect of the Lisp language). Comparison of paradigms. Implementations of important data structures in Scheme. The Lisp interpreter. Development of methods to reason about programs. Prerequisite: CMPSCI 187. Corequisites: CMPSCI 250 and MATH 132.",4,Undergraduate,Prerequisite:  COMPSCI 187 or E&C-ENG 242 with a grade of 'C' or better.,,[List]
COMPSCI 296,Computer Science,COMPSCI,296,Independent Study,,,,,,[List]
COMPSCI 296A,Computer Science,COMPSCI,296A,Independent Study - Competitive Programming,A student-driven course to help prepare for programming contests. Students must sign up in teams of 2-3. This course does not count toward computer science major or minor requirements.,3,Undergraduate,Prerequisites: COMPSCI 187 with a grade of 'C' or better.,,[List]
COMPSCI 296ISH,Computer Science,COMPSCI,296ISH,Honors Independent Study in COMPSCI,,,,,,[List]
COMPSCI 305,Computer Science,COMPSCI,305,Social Issues in Computing,,,,,,[List]
COMPSCI 311,Computer Science,COMPSCI,311,Introduction to Algorithms,"The design and analysis of efficient algorithms for important computational problems. Emphasis on the relationships between algorithms and data structures and on measures of algorithmic efficiency. Sorting (heapsort, mergesort, quicksort), searching, graph algorithms. Experimental analysis of algorithms also emphasized. Use of computer required.",4,Undergraduate,"Prerequisites: COMPSCI 187 and either COMPSCI 250 or MATH 455, all with a grade of C or better.",,[List]
COMPSCI 320,Computer Science,COMPSCI,320,Software Engineering,"In this course, students learn and gain practical experience with software engineering principles and techniques. The practical experience centers on a semester-long team project in which a software development project is carried through all the stages of the software life cycle. Topics in this course include requirements analysis, specification, design, abstraction, programming style, testing, maintenance, communication, teamwork, and software project management. Particular emphasis is placed on communication and negotiation skills and on designing and developing maintainable software.  Use of computer required. Several written assignments, in-class presentations, and a term project. This course satisfies the Integrative Experience requirement for BS and BA CS majors.",4,Undergraduate,Prerequisite: COMPSCI 220 with a grade of 'C' or better.,,[List]
COMPSCI 325,Computer Science,COMPSCI,325,Introduction to Human-Computer Interaction,"In this course we examine the important problems in Usability, Human Computer Interaction, User Interfaces, and Human Centered Computing. We will examine elements of HCI history, human information processing capabilities, HCI design, user interface prototyping methods and new applications and directions in human computer interaction.",3,Undergraduate,Prerequisites: a grade of C or better in COMPSCI 186 or 187,,[List]
COMPSCI 326,Computer Science,COMPSCI,326,Web Programming,"The World Wide Web was proposed originally as a collection of static documents inter-connected by hyperlinks. Today, the web has grown into a rich platform, built on a variety of protocols, standards, and programming languages, that aims to replace many of the services traditionally provided by a desktop operating system.  This course will study core technologies, concepts, and techniques behind the creation of modern web-based systems and applications.  This course satisfies the Integrative Experience requirement for CS and INFORM Majors.",4,Undergraduate,"Prerequisite: COMPSCI 220 (or 230) with a grade of C or better, or INFO 248 and COMPSCI 186 (or 187) with a grade of C or better in each.",,[List]
COMPSCI 328,Computer Science,COMPSCI,328,Mobile Health Sensing and Analytics,"This course is an introduction to personal health sensing and monitoring through mobile phones and on-body sensors and addresses several aspects including mobile devices and applications for health, sensor data quality and reliability challenges, interference of key feedback, and practical considerations such as battery lifetime.",3,Undergraduate,Prerequisite: COMPSCI 187 (or INFO 248 and COMPSCI 186) with a grade of C or better.,,[List]
COMPSCI 333,Computer Science,COMPSCI,333,Internet of Things,"We are living in a world where everyday objects, such as smartphones, cars, TVs, and even refrigerators, are becoming smarter and constantly connected to each other to build, operate, and manage the physical world. This emerging paradigm, namely the Internet of Things (IoT), has great potential to impact how individuals live and work by providing a source of innovative decision making.  The design of the IoT, which is defined as ""a internetwork of physical items -- each embedded with sensors -- that are connected to the Internet"", requires the understanding of embedded electronics, software, sensors, network, and data analytics.  To prepare our students as forerunners of this future, this course will introduce a wide range of topics in the broad areas of IoT, and provide hands-on experiences via a series of exciting projects.  This course counts as a CS Elective for the CS Major (BA or BS).",3,Undergraduate,Prerequisites: COMPSCI 187 with a grade of 'C' or better.,[List],[List]
COMPSCI 335,Computer Science,COMPSCI,335,Inside the Box: How Computers Work,"How computers work, including digital logic, arithmetic, data path, and memory. Students build circuits with prototyping boards; program microcontrollers in assembly language and C to work with various I/O devices.",3,Undergraduate,Prerequisite: COMPSCI 220 or 230 with a grade of 'C' or better.,,[List]
COMPSCI 345,Computer Science,COMPSCI,345,Practice and Applications of Data Management,"Computing has become data-driven, and databases are now at the heart of commercial applications. The purpose of this course is to provide a comprehensive introduction to the use of data management systems within the context of various applications. Some of the covered topics include application-driven database design, schema refinement, implementation of basic transactions, data on the web, and data visualization.",3,Undergraduate,Prerequisite: COMPSCI 187 (or INFO 248 and COMPSCI 186) with a grade of C or better.,,[List]
COMPSCI 348,Computer Science,COMPSCI,348,Principles of Data Science,"Data science uses various concepts, practices, algorithms, and systems to extract knowledge and insights from data.  It encompasses techniques from machine learning, statistics, databases, visualization, and several other fields. When properly integrated, these techniques can help human analysts make sense of vast stores of digital information. This course presents the fundamental principles of data science, familiarizes students with the technical details of representative algorithms, and connects these concepts to applications in industry, science, and government, including fraud detection, marketing, scientific discovery, and web mining. The course assumes that students are familiar with basic concepts and algorithms from probability and statistics.",3,Undergraduate,"Prerequisites: COMPSCI 187, COMPSCI 240 and COMPSCI 250 (or MATH 455), all with a grade of 'C' or better.",,[List]
COMPSCI 360,Computer Science,COMPSCI,360,Introduction to Computer and Network Security,"This course provides an introduction to the principles and practice of computer and network security. A focus on both fundamentals and practical information will be stressed. The three key topics of this course are cryptography, privacy, and network security. Subtopics include ciphers, hashes, key exchange, security services (integrity, availability, confidentiality, etc.), security attacks, vulnerabilities, anonymous communications, and countermeasures.",3,Undergraduate,Prerequisite: COMPSCI 230 with a grade of 'C' or better.,,[List]
COMPSCI 365,Computer Science,COMPSCI,365,Digital Forensics,"This course offers a broad introduction to the forensic investigation of digital devices.  We cover the preservation, recovery, harvesting, and courtroom presentation of information from file systems, operating systems, networks, and media files.  The primary goal of the class is to understand why and from where information is recoverable in these systems.  We also cover relevant issues from law, privacy, and current events.",3,Undergraduate,Prerequisite: COMPSCI 230 with a grade of 'C' or better.,,[List]
COMPSCI 370,Computer Science,COMPSCI,370,Introduction to Computer Vision,"This introductory computer vision class will address fundamental questions about getting computers to ""see"" like humans.  We investigate questions such as -What is the role of vision in intelligence? -How are images represented in a computer? -How can we write algorithms to recognize an object? -How can humans and computers ""learn to see better"" from experience?  We will write a number of basic computer programs to do things like recognize handwritten characters, track objects in video, and understand the structure of images.",3,Undergraduate,Pre Requisite: COMPSCI 240 or COMPSCI 383 with a grade of 'C' or better,,[List]
COMPSCI 373,Computer Science,COMPSCI,373,Introduction to Computer Graphics,"This course introduces the fundamental concepts of two-dimensional (2D) and three-dimensional (3D) computer graphics. It covers the basic methods for modeling, rendering, and imaging. Topics include image processing, 2D and 3D modeling, 3D graphics pipeline, WebGL, shading, texture mapping, ray tracing, 3D printing.  Throughout the class, students will learn algorhithmic ways to model the visual world, and write JavaScript programs with WebGL to implement various computer graphics algorithms.",3,Undergraduate,Prerequisites: COMPSCI 187 with a grade of 'C' or better and MATH 235 (or INFO 150 or COMPSCI 240) with a grade of 'C' or better.,,[List]
COMPSCI 377,Computer Science,COMPSCI,377,Operating Systems,"The design and operation of modern computer operating systems. Review of capabilities of typical computer hardware. Topics include command language interpreter (the shell), processes, concurrency, inter-process communication, linking and loading, memory management, transactions, file systems, distributed systems, security, and protection. Programming projects in Java and C.",4,Undergraduate,Pre Requisite: COMPSCI 230 with a grade of 'C' or better.,,[List]
COMPSCI 383,Computer Science,COMPSCI,383,Artificial Intelligence,"The Course explores key concepts of artificial intelligence, including state-space and heuristic search techniques, game playing, knowledge representation, automated planning, reasoning under uncertainty, decision theory and machine learning. We will examine how these concepts are applied in the context of several applications.",3,Undergraduate,Prerequisites: A grade of C or better in COMPSCI 220 (or 230) and COMPSCI 240 (or STATISTC 515),,[List]
COMPSCI 389,Computer Science,COMPSCI,389,Introduction to Machine Learning,"The course provides an introduction to machine learning algorithms and applications. Machine learning algorithms answer the question: 'How can a computer improve its performance based on data and from its own experience?' The course is roughly divided into thirds: supervised learning (learning from labeled data), reinforcement learning (learning via trial and error), and real-world considerations like ethics, safety, and fairness. Specific topics include linear and non-linear regression, (stochastic) gradient descent, neural networks, backpropagation, classification, Markov decision processes, state-value and action-value functions, temporal difference learning, actor-critic algorithms, the reward prediction error hypothesis for dopamine, connectionism for philosophy of mind, and ethics, safety, and fairness considerations when applying machine learning to real-world problems.  This course counts as an Elective for the INFORM Major.",3,Undergraduate,"Prerequisites: a grade of C or better in COMPSCI 220 (or 230), COMPSCI 240 (or STATISTC 515), and MATH 233",,[List]
COMPSCI 390N,Computer Science,COMPSCI,390N,Internet of Things,,,,,,[List]
COMPSCI 390R,Computer Science,COMPSCI,390R,Reverse Engineering and Vulnerability Analysis,"Many software developers aren't aware of how to properly write secure code.  This course covers practical skills in reverse engineering and binary exploitation, and examines the techniques used by hackers in recent major security incidents. The course objective is to provide students with a strong understanding of attack patterns, and to ensure students implement more secure coding practices in their own code.  This course begins with an introduction to Intel-based assembly, reverse engineering, vulnerability analysis, and various forms of Linux-focused binary exploitation. The course then covers stack, heap and Linux kernel-based exploitation, and dive into common defensive mitigations such as ASLR, NX and Stack Cookies alongside techniques to bypass each of them. This course counts as a CS Elective for the CS Major (BA or BS).",3,Undergraduate,Prerequisite: COMPSCI 230 (or E&C-ENG 322 or 373) with a grade of C or better.,,[List]
COMPSCI 391L,Computer Science,COMPSCI,391L,S-Computer Crime Law: Technologies of Investigation and Privacy,"A study, analysis, and discussion of the legal issues related to crimes involving computers and networks, including topical actions by dissidents and governments. We will also study the technologies of forensic investigation, intelligence gathering, privacy enhancement, and censorship resistance. Our main legal topics will include recent and important case law, statutes, and constitutional clauses concerning authorization, access, search and seizure, wiretaps, the right to privacy, and FISA. Our technology topics will include methods of investigation and resistance in the context of the Internet and Cellular networks. Students are assumed to have no background in legal concepts. Students will be required to complete substantial legal readings, complete significant written analysis of rulings, learn about technologies in detail, and participate in lively class discussion. This course counts as a CS Elective toward the BS/BA CS majors.",3,Undergraduate,Prerequisite: COMPSCI 230 and ENGLWRIT 112 with a grade of 'C' or better; or the completion of the 'CW' General Education requirement.,,[List]
COMPSCI 396,Computer Science,COMPSCI,396,Independent Study,,,,,,[List]
COMPSCI 396ISH,Computer Science,COMPSCI,396ISH,Honors Independent Study in CMPSCI,,,,,,[List]
COMPSCI 396L,Computer Science,COMPSCI,396L,Independent Study- Language-Based Approaches to Serverless Computing,"An introduction to serverless computing, and language-based platform implementation strategies.  Not for CS Elective credit for the BS or BA.",3,Undergraduate,,,[List]
